EMPID,EMPNAME,EMAIL,JOBLOC
1,Alex,Alex@infy.com,Mysore
2,Jack,Jack@infy.com,Pune
3,Ram,Ram@infy.com,Bangalore
4,Mike,Mike@infy.com,Bangalore
5,Raj,Raj@infy.com,Chennai
6,Ria,Ria@infy.com,Pune
7,Alex,Alex@infy.com,Mysore
8,Jack,Jack@infy.com,Pune
9,Ram,Ram@infy.com,Bangalore
10,Mike,Mike@infy.com,Bangalore
11,Raj,Raj@infy.com,Chennai
12,Ria,Ria@infy.com,Pune
13,Alex,Alex@infy.com,Mysore
14,Jack,Jack@infy.com,Pune
15,Ram,Ram@infy.com,Bangalore
16,Mike,Mike@infy.com,Bangalore
17,Raj,Raj@infy.com,Chennai
18,Ria,Ria@infy.com,Pune
19,Alex,Alex@infy.com,Mysore
20,Jack,Jack@infy.com,Pune
21,Ram,Ram@infy.com,Bangalore
22,Mike,Mike@infy.com,Bangalore
23,Raj,Raj@infy.com,Chennai
24,Ria,Ria@infy.com,Pune
25,Alex,Alex@infy.com,Mysore
26,Jack,Jack@infy.com,Pune
27,Ram,Ram@infy.com,Bangalore
28,Mike,Mike@infy.com,Bangalore
29,Raj,Raj@infy.com,Chennai
30,Ria,Ria@infy.com,Pune
